job_titles,skills
.NET Web Developer,.NET|Web Development
AWS Cloud Architect,amazon ec2|amazon redshift|amazon route 53|amazon web services|ansible|apache maven|api|aws codepipeline|aws rds|aws vpc|centos|chef|cloud|cloud architecture|cloudwatch|configuration|continuous integration|dynamo db|elastic beanstalk|identity management|java|jenkins|linux|mysql|sdlc|software|sql|unix|unixshell scripts
AWS Cloud Engineer,amazon ec2|amazon redshift|amazon route 53|amazon web services|ansible|apache maven|api|aws codepipeline|aws rds|aws vpc|centos|chef|cloud|cloud architecture|cloudwatch|configuration|continuous integration|dynamo db|elastic beanstalk|identity management|java|jenkins|linux|mysql|sdlc|software|sql|unix|unixshell scripts
Accounts Manager,arduino|c|communication|electronics|instrumentation|leadership
Advanced certified secure computer user,Angular|C|C#/.Net|C++|Database architecture|Eclipse IDE|Git|JUNIT|Java|Maven|Next Js|React js|SQL|Spring-boot
Area Credit Manager,Business Development|Credit Management|Customer Service|Financial Analysis|Loan Processing|Risk Assessment|Team Management
Area Sales Officer,C|C++|Compensation & Benefits|Employee Grievances|Employee Relations & Engagement|General Administration|Interpersonal Communication|Labor Law & Regulations|Microsoft Office|Performance Management|Policies|Talent Acquisition|Time Management|Training & Development
Article Assistant,Accounting|Alteryx|Audit|Data Snipper|IFRS|MS Office|Power BI|Taxation|US GAAP
Artificial Intelligence Intern,C|C++|CV|Data Analysis|Data Structures|Data Visualization|Deep Learning|Django|Docker|Flask|GCP|IPython|Java|Keras|LLM|Langchain|Librosa|Machine Learning|MongoDB|NLG|NLP|NLU|PyTorch|Python|SQL|SciPy|SpaCy|TensorFlow
Assistance Sales Manager,Communication|Customer Service|Decision Making|Sales|Team Management
Assistant Branch Manager,Bucket Collection|Bucket Collection Efficiency|Cash Management|Key Responsibilities|Team Handling
Assistant Sales Manager,Business Development|Customer Service|Leadership|Marketing|Operations|Sales|Team Management
Assistant Technical Head,AWS|Ansible|Azure|BERT|CI/CD|CockroachDB|Django|Docker|FastAPI|Firebase|Flask|GITHUB|GraphQL|Groq API|HTML/CSS|ImmuDB|JWT|JavaScript|Jenkins|Kubernetes|Laravel|MongoDB|MySQL|OAuth2|Ollama|OpenCV|PHP|Pinecone|PostgreSQL|Postman|Python|REST|React|Redis|SOAP|SQL|Swagger|TensorFlow|Terraform|Transformers|WebSockets|gRPC
Associate AI Engineer,C|C++|CV|Data Analysis|Data Structures|Data Visualization|Deep Learning|Django|Docker|Flask|GCP|IPython|Java|Keras|LLM|Langchain|Librosa|Machine Learning|MongoDB|NLG|NLP|NLU|PyTorch|Python|SQL|SciPy|SpaCy|TensorFlow
